Event_ID,Crime type,Crime Code,City,City Code,Date of crime
191223456775,BURGLARY - RESIDENCE,1,MIAMI LAKE,19,1/2/2019
191222455741,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $4999,2,MIAMI LAKE,19,1/3/2019
191228463175,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2,MIAMI LAKE,19,1/4/2019
1910200079140,PETTY THEFT,2,MIAMI LAKE,19,1/5/2019
1910200079106,PETTY THEFT,2,MIAMI LAKE,19,1/6/2019
1910300081676,BURGLARY - OTHER STRUCTURE,1,MIAMI LAKE,19,1/27/2019
1910300081674,BURGLARY - RESIDENCE,1,MIAMI LAKE,19,1/27/2019
1910300081674,PETTY THEFT,2,MIAMI LAKE,19,1/27/2019
1910040075012,BURGLARY - RESIDENCE,1,METRO MIAMI-DADE,16,3/15/2019
1910210079264,CRIMINAL MISCHIEF / VANDALISM,0,METRO MIAMI-DADE,16,3/16/2019
1910200079130,THEFT - ALL OTHER,2,METRO MIAMI-DADE,16,3/28/2019
1910040074959,THEFT - ALL OTHER,2,METRO MIAMI-DADE,16,3/28/2019
1910040074833,THEFT/LARCENY,2,METRO MIAMI-DADE,16,3/28/2019
1910200079021,"CRIMINAL MISCHIEF $1000, OR INTERRUPTION OF BUSINESS OR UTILITIES",0,KEY BISCAYNE,14,4/19/2019
1910200079021,THEFT - ALL OTHER,2,WEST MIAMI,23,5/3/2019
1910210079272,CRIMINAL MISCHIEF / VANDALISM,0,WEST MIAMI,23,5/4/2019
1910040074827,CRIMINAL MISCHIEF / VANDALISM,0,WEST MIAMI,23,5/4/2019
1910200079243,ROBBERY - STRONG ARM,3,WEST MIAMI,23,5/4/2019
1910040074990,ROBBERY - STRONG ARM,3,WEST MIAMI,23,5/4/2019
1910200079179,BURGLARY - RESIDENCE,1,WEST MIAMI,23,5/5/2019
1910040074975,THEFT - FROM BUILDING,2,WEST MIAMI,23,5/5/2019
1910210079281,THEFT - PICK POCKET,2,WEST MIAMI,23,5/5/2019
1910040075007,BURGLARY ,1,WEST MIAMI,23,5/5/2019
1910040075014,THEFT - ALL OTHER,2,WEST MIAMI,23,5/5/2019
1910200079235,THEFT - ALL OTHER,2,WEST MIAMI,23,5/5/2019
1910200079256,THEFT - ALL OTHER,2,WEST MIAMI,23,5/5/2019
1910200079256,THEFT - ALL OTHER,2,WEST MIAMI,23,5/5/2019
1910040075018,BURGLARY - OTHER STRUCTURE,1,GOLDEN BEACH,10,6/24/2019
1910200079199,CRIMINAL MISCHIEF / VANDALISM,0,GOLDEN BEACH,10,6/24/2019
1910040074946,ROBBERY - STRONG ARM,3,GOLDEN BEACH,10,6/24/2019
1910050075195,ROBBERY - STRONG ARM,3,GOLDEN BEACH,10,6/24/2019
1910060075417,THEFT - ALL OTHER,2,GOLDEN BEACH,10,6/24/2019
1910060075397,"CRIMINAL MISCHIEF $1000, OR INTERRUPTION OF BUSINESS OR UTILITIES",0,MEDLEY,15,7/8/2019
1910080075908,CRIMINAL MISCHIEF / VANDALISM,0,MEDLEY,15,7/9/2019
1910070075646,GRAND THEFT,2,WEST MIAMI,23,7/10/2019
1910070075592,BURGLARY ,1,WEST MIAMI,23,7/11/2019
1910140077418,BURGLARY ,1,WEST MIAMI,23,7/12/2019
1910130077342,THEFT/LARCENY,2,WEST MIAMI,23,7/12/2019
1910140077423,CRIMINAL MISCHIEF / VANDALISM,0,TAMIAMI TRAIL,22,7/13/2019
1910140077419,BURGLARY ,1,BISCAYNE GARDENS,7,7/23/2019
1910130077275,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,2,BISCAYNE GARDENS,7,7/23/2019
1910060075350,PETIT THEFT - RETAIL / LESS THAN $100,2,BISCAYNE GARDENS,7,7/23/2019
1910130077302,PETIT THEFT - RETAIL / LESS THAN $100,2,BISCAYNE GARDENS,7,7/23/2019
1910060075443,PETIT THEFT,2,BISCAYNE GARDENS,7,7/24/2019
1910060075411,THEFT - ALL OTHER,2,BISCAYNE GARDENS,7,7/24/2019
1910070075580,CRIMINAL MISCHIEF / VANDALISM,0,BISCAYNE GARDENS,7,7/25/2019
1910050075162,GRAND THEFT - FROM BUILDING WITH PUBLIC ACCESS - $300 TO LESS THN $5000,2,BISCAYNE GARDENS,7,7/25/2019
1910130077345,BURGLARY - RESIDENCE,1,HIALEAH GARDENS,11,7/25/2019
1910060075391,PETIT THEFT,2,HIALEAH GARDENS,11,7/25/2019
1910130077319,THEFT - ALL OTHER,2,HIALEAH GARDENS,11,7/25/2019
1910060075381,BURGLARY / STRUCTURE - ARMED-BECOMES ARMED WITH DANGEROUS WEAPON,1,OPA LOCKA,21,7/25/2019
1910060075401,CRIMINAL MISCHIEF / VANDALISM,0,OPA LOCKA,21,7/25/2019
1910050075165,GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,2,OPA LOCKA,21,7/25/2019
1910070075578,PETIT THEFT - RETAIL / LESS THAN $100,2,OPA LOCKA,21,7/25/2019
1910130077383,THEFT - ALL OTHER,2,OPA LOCKA,21,7/25/2019
1910060075369,THEFT - ALL OTHER,2,OPA LOCKA,21,7/25/2019
1910130077290,THEFT - PURSE SNATCH,2,BISCAYNE GARDENS,7,7/26/2019
1910140077399,BURGLARY ,1,HIALEAH GARDENS,11,7/26/2019
1910130077327,BURGLARY - RESIDENCE,1,HIALEAH GARDENS,11,7/26/2019
1910050075175,BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1,HIALEAH GARDENS,11,7/26/2019
1910070075633,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1,HIALEAH GARDENS,11,7/26/2019
1910130077345,CRIMINAL MISCHIEF / VANDALISM,0,HIALEAH GARDENS,11,7/26/2019
1910060075475,GRAND THEFT,2,HIALEAH GARDENS,11,7/26/2019
1910060075421,"GRAND THEFT - UNSPECIFIED -$10,000 TO LESS THAN $20,000",2,HIALEAH GARDENS,11,7/26/2019
1910070075612,RETAIL THEFT,2,HIALEAH GARDENS,11,7/26/2019
1910100076418,RETAIL THEFT OVER $300,2,HIALEAH GARDENS,11,7/26/2019
1910160077993,ROBBERY - ARMED,3,HIALEAH GARDENS,11,7/26/2019
191008360455,THEFT - PICK POCKET,2,HIALEAH GARDENS,11,7/26/2019
191119413701,BURGLARY - OTHER STRUCTURE,1,BISCAYNE GARDENS,7,7/27/2019
191121416479,BURGLARY ,1,COASTAL MIAMI,8,8/2/2019
200107008133,CRIMINAL MISCHIEF / VANDALISM,0,COASTAL MIAMI,8,8/2/2019
1910110076718,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,2,COASTAL MIAMI,8,8/2/2019
1910110076715,PETIT THEFT,2,COASTAL MIAMI,8,8/2/2019
1910100076642,PETIT THEFT - WITH 1 PREVIOUS THEFT CONVICTION,2,COASTAL MIAMI,8,8/2/2019
1910100076650,BURGLARY - RESIDENCE,1,MEDLEY,15,8/3/2019
1910100076618,THEFT/LARCENY,2,MEDLEY,15,8/4/2019
1910100076647,BURGLARY - OTHER STRUCTURE,1,MEDLEY,15,8/5/2019
1910100076674,BURGLARY ,1,MEDLEY,15,8/6/2019
1910100076674,BURGLARY ,1,MEDLEY,15,8/6/2019
1910100076608,BURGLARY ,1,MEDLEY,15,8/6/2019
1910100076498,ROBBERY - STRONG ARM,3,MEDLEY,15,8/6/2019
1910120076968,ROBBERY - STRONG ARM,3,MEDLEY,15,8/6/2019
1910120076965,THEFT - ALL OTHER,2,MEDLEY,15,8/6/2019
1910120076971,THEFT - ALL OTHER,2,COASTAL MIAMI,8,8/7/2019
1910110076952,THEFT - PICK POCKET,2,COASTAL MIAMI,8,8/8/2019
1910110076941,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1,COASTAL MIAMI,8,8/9/2019
1910110076873,THEFT - ALL OTHER,2,COASTAL MIAMI,8,8/10/2019
1910110076841,BURGLARY ,1,COASTAL MIAMI,8,8/11/2019
1910020074245,BURGLARY ,1,COASTAL MIAMI,8,8/12/2019
1910100076493,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1,COASTAL MIAMI,8,8/12/2019
1910110076918,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2,COASTAL MIAMI,8,8/12/2019
1910110076854,"GRAND THEFT - UNSPECIFIED -$10,000 TO LESS THAN $20,000",2,COASTAL MIAMI,8,8/12/2019
1910020074247,GRAND THEFT OF THE THIRD DEGREE AND A FELONY OF THE THIRD DEGREE,2,COASTAL MIAMI,8,8/12/2019
1910100076531,PETIT THEFT - FROM MOTOR VEHICLE / $100 TO LESS THAN $300,2,COASTAL MIAMI,8,8/12/2019
1910100076472,BURGLARY - RESIDENCE,1,COASTAL MIAMI,8,8/13/2019
1910100076504,THEFT/LARCENY,2,COASTAL MIAMI,8,8/14/2019
1910100076456,BURGLARY ,1,COASTAL MIAMI,8,8/15/2019
1910100076450,CRIMINAL MISCHIEF / VANDALISM,0,INLAND MIAMI,13,8/16/2019
